date,store_product,availability,price
2022-11-09,Giant Tiger_Butter tart,In stock,4.47
2022-11-10,Food Basics_Butter tart,In stock,4.97
2022-11-10,Metro_Butter tart,In stock,5.97
2022-11-19,Giant Tiger_Cucumber,In stock,1.98
2022-11-19,Giant Tiger_Butter tart,In stock,4.97
2022-11-20,Food Basics_Cucumber,In stock,1.98
2022-12-07,Giant Tiger_Butter tart,In stock,5.47
2023-01-22,Some Random Grocery Store(Some Random Location)_Some Random Product,Not Available,0.01
2023-02-23,Giant Tiger_Butter tart,In stock,4.97
2023-02-23,Giant Tiger_Quaker Instant Oatmeal Maple & Brown Sugar 344 g,In stock,3.97
2023-02-23,Giant Tiger_Quaker Instant Oatmeal Regular 280 g,In stock,3.97
2023-02-23,Giant Tiger_Quaker Instant Oatmeal Flavour Variety 314 g,In stock,3.97
